Timestamp,Keystrokes,Erase Keys,Erase Keys Percentage,Press and Hold Average Interval,Press and Hold Stddev Interval,Average Latency,Latency Stddev,Word Counter,Word Average Length,Word Stddev Length,Phrase Counter
1712136449.8494596,0,0,0,0,0,0,0,0,0,0,1
1712136489.7650802,0,0,0,0,0,0,0,0,0,0,1
1712136549.9321756,26,1,25.0,0.1136850118637085,0.0,2.3090800505418043,0.05712216519644195,26,0,7.5,1
1712136609.9907703,34,1,33.333333333333336,0.18148446784299962,0.0001688246309872296,1.76637199345757,0.16972139539623834,28,4.0,8.077747210701755,7
